PUBLICATION_DATE,TAXA_ID,TARGET_TAXON,NON_TARGET,PHYLUM,CLASS,ORDER,FAMILY,SUBFAMILY,TRIBE,GENUS,FFG,HABIT,PTV,COLLECTED
4/26/2021,179,GONOMYIA,,ARTHROPODA,INSECTA,DIPTERA,TIPULIDAE,,,GONOMYIA,CG,BU,3,FALSE
4/26/2021,180,MACROMIIDAE,,ARTHROPODA,INSECTA,ODONATA,MACROMIIDAE,,,,,,,FALSE
4/26/2021,181,NEOPORUS,,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,NEOPORUS,PR,,,FALSE
4/26/2021,182,TIPULIDAE,,ARTHROPODA,INSECTA,DIPTERA,TIPULIDAE,,,,"SH,CG",BU,3.8,FALSE
4/26/2021,183,BRANCHIURA,,ANNELIDA,CLITELLATA,HAPLOTAXIDA,TUBIFICIDAE,,,BRANCHIURA,CG,CB,8.1,FALSE
4/26/2021,184,CHAOBORUS,,ARTHROPODA,INSECTA,DIPTERA,CHAOBORIDAE,CHAOBORINAE,,CHAOBORUS,PR,SP,8,FALSE
4/26/2021,185,COELOTANYPUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,COELOTANYPODINI,COELOTANYPUS,PR,BU,6.9,FALSE
4/26/2021,186,EINFELDIA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,EINFELDIA,CG,BU,7,FALSE
4/26/2021,187,GUTTIPELOPIA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,GUTTIPELOPIA,PR,SP,5,FALSE
4/26/2021,188,MUSCULIUM,,MOLLUSCA,BIVALVIA,VENEROIDA,PISIDIIDAE,,,MUSCULIUM,CF,BU,,FALSE
4/26/2021,189,NOTERIDAE,,ARTHROPODA,INSECTA,COLEOPTERA,NOTERIDAE,,,,"PR,CG","SW,BU,CB",,FALSE
4/26/2021,190,SIALIS,,ARTHROPODA,INSECTA,MEGALOPTERA,SIALIDAE,,,SIALIS,PR,BU,4,FALSE
4/26/2021,191,SPHAEROMIAS,,ARTHROPODA,INSECTA,DIPTERA,CERATOPOGONIDAE,CERATOPOGONINAE,,SPHAEROMIAS,"PR,CG","SP,BU,PK",6,FALSE
4/26/2021,192,HAEMONAIS,,ANNELIDA,CLITELLATA,HAPLOTAXIDA,NAIDIDAE,,,HAEMONAIS,CG,,8,FALSE
4/26/2021,193,UNIONIDAE,,MOLLUSCA,BIVALVIA,UNIONOIDA,UNIONIDAE,,,,CF,BU,7.2,FALSE
4/26/2021,194,UNIONOIDA,,MOLLUSCA,BIVALVIA,UNIONOIDA,,,,,,,,FALSE
4/26/2021,195,VENEROIDA,,MOLLUSCA,BIVALVIA,VENEROIDA,,,,,,,,FALSE
4/26/2021,196,AMPHIPODA,,ARTHROPODA,MALACOSTRACA,AMPHIPODA,,,,,CG,SP,4.7,FALSE
4/26/2021,197,BRACHYCERCUS,,ARTHROPODA,INSECTA,EPHEMEROPTERA,CAENIDAE,,,BRACHYCERCUS,"CG,SH",SP,7,FALSE
4/26/2021,198,CAMBARIDAE,,ARTHROPODA,MALACOSTRACA,DECAPODA,CAMBARIDAE,,,,CG,SP,6,FALSE
4/26/2021,199,CHAETOGASTER,,ANNELIDA,CLITELLATA,HAPLOTAXIDA,NAIDIDAE,,,CHAETOGASTER,,,,FALSE
4/26/2021,200,GASTROPODA,,MOLLUSCA,GASTROPODA,,,,,,SC,CB,7,FALSE
4/26/2021,201,HEXAGENIA,,ARTHROPODA,INSECTA,EPHEMEROPTERA,EPHEMERIDAE,,,HEXAGENIA,CG,BU,4.3,FALSE
4/26/2021,202,HYGROBATES,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,HYGROBATIDAE,,,HYGROBATES,PR,CB,8,FALSE
4/26/2021,203,LEPTOPHLEBIIDAE,,ARTHROPODA,INSECTA,EPHEMEROPTERA,LEPTOPHLEBIIDAE,,,,CG,CN,2.1,FALSE
4/26/2021,204,LIRCEUS,,ARTHROPODA,MALACOSTRACA,ISOPODA,ASELLIDAE,,,LIRCEUS,CG,SP,8,FALSE
4/26/2021,205,NECTOPSYCHE,,ARTHROPODA,INSECTA,TRICHOPTERA,LEPTOCERIDAE,LEPTOCERINAE,NECTOPSYCHINI,NECTOPSYCHE,SH,"CB,SP",3.3,FALSE
4/26/2021,206,PIONA,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,PIONIDAE,,,PIONA,PR,,8,FALSE
4/26/2021,207,STENELMIS,,ARTHROPODA,INSECTA,COLEOPTERA,ELMIDAE,,,STENELMIS,SC,CN,4.8,FALSE
4/26/2021,208,STENONEMA,,ARTHROPODA,INSECTA,EPHEMEROPTERA,HEPTAGENIIDAE,,,STENONEMA,SC,CN,3.4,FALSE
4/26/2021,209,PAGASTIELLA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,PAGASTIELLA,CG,SP,2,FALSE
4/26/2021,210,KRENDOWSKIA,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,KRENDOWSKIIDAE,,,KRENDOWSKIA,,,,FALSE
4/26/2021,211,HYDRYPHANTIDAE,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,HYDRYPHANTIDAE,,,,PR,"CB,SW",8,FALSE
4/26/2021,212,SARCOPTIFORMES,,ARTHROPODA,ARACHNIDA,SARCOPTIFORMES,,,,,PR,,8,FALSE
4/26/2021,214,HEMERODROMIA,,ARTHROPODA,INSECTA,DIPTERA,EMPIDIDAE,HEMERODROMIINAE,HEMERODROMIINI,HEMERODROMIA,PR,SP,6,FALSE
4/26/2021,215,MELANOIDES,,MOLLUSCA,GASTROPODA,NEOTAENIOGLOSSA,THIARIDAE,,,MELANOIDES,SC,,,FALSE
4/26/2021,216,PLANORBELLA,,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,PLANORBIDAE,,,PLANORBELLA,SC,CB,7.8,FALSE
4/26/2021,217,APEDILUM,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,APEDILUM,,"SP,BU",,FALSE
4/26/2021,219,EPHYDRIDAE,,ARTHROPODA,INSECTA,DIPTERA,EPHYDRIDAE,,,,CG,BU,5.9,FALSE
4/26/2021,220,THEROMYZON,,ANNELIDA,CLITELLATA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,,,THEROMYZON,PA,,,FALSE
4/26/2021,221,BRANCHIOBDELLIDAE,,ANNELIDA,CLITELLATA,BRANCHIOBDELLIDA,BRANCHIOBDELLIDAE,,,,,,,FALSE
4/26/2021,222,GAMMARUS,,ARTHROPODA,MALACOSTRACA,AMPHIPODA,GAMMARIDAE,,,GAMMARUS,"CG,SH",SP,5.7,FALSE
4/26/2021,223,ORCONECTES,,ARTHROPODA,MALACOSTRACA,DECAPODA,CAMBARIDAE,CAMBARINAE,,ORCONECTES,"CG,SH",SP,6.9,FALSE
4/26/2021,224,ENCHYTRAEIDAE,,ANNELIDA,CLITELLATA,HAPLOTAXIDA,ENCHYTRAEIDAE,,,,CG,BU,9,FALSE
4/26/2021,225,HEDRIODISCUS/ODONTOMYIA,,ARTHROPODA,INSECTA,DIPTERA,STRATIOMYIDAE,,,HEDRIODISCUS/ODONTOMYIA,,,,FALSE
4/26/2021,226,HYDROSCAPHA,,ARTHROPODA,INSECTA,COLEOPTERA,HYDROSCAPHIDAE,,,HYDROSCAPHA,SC,CN,,FALSE
4/26/2021,227,FERRISSIA,,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,ANCYLIDAE,,,FERRISSIA,SC,CB,5.5,FALSE
4/26/2021,228,HARNISCHIA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,HARNISCHIA,CG,"BU,CB",8,FALSE
4/26/2021,229,HYGROTUS,,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,HYDROPORINAE,HYGROTINI,HYGROTUS,PR,SW,4,FALSE
4/26/2021,230,MICROCHIRONOMUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,MICROCHIRONOMUS,CG,BU,,FALSE
4/26/2021,233,BIOMPHALARIA,,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,PLANORBIDAE,,,BIOMPHALARIA,SC,CB,,FALSE
4/26/2021,234,ENOCHRUS,,ARTHROPODA,INSECTA,COLEOPTERA,HYDROPHILIDAE,HYDROPHILINAE,HYDROPHILINI,ENOCHRUS,CG,BU,6.5,FALSE
4/26/2021,235,GOELDICHIRONOMUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,GOELDICHIRONOMUS,CG,BU,0,FALSE
4/26/2021,236,ENDOTRIBELOS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,ENDOTRIBELOS,CG,"BU,CN",,FALSE
4/26/2021,237,RADIX,,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,LYMNAEIDAE,LYMNAEINAE,,RADIX,CG,CB,6.6,FALSE
4/26/2021,238,SYMPETRUM,,ARTHROPODA,INSECTA,ODONATA,LIBELLULIDAE,,,SYMPETRUM,PR,SP,8.2,FALSE
4/26/2021,239,COENAGRION/ENALLAGMA,,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,,,COENAGRION/ENALLAGMA,,,,FALSE
4/26/2021,240,DYTISCIDAE,,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,,,,PR,"CB,SW",5.1,FALSE
4/26/2021,241,HELISOMA,,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,PLANORBIDAE,,,HELISOMA,SC,CB,5.7,FALSE
4/26/2021,242,HYDROBAENUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,ORTHOCLADIINI/METRIOCNEMINI,HYDROBAENUS,SC,SP,8.5,FALSE
4/26/2021,243,QUISTRADRILUS,,ANNELIDA,CLITELLATA,HAPLOTAXIDA,TUBIFICIDAE,,,QUISTRADRILUS,,,,FALSE
4/26/2021,248,CORIXIDAE,Y,ARTHROPODA,INSECTA,HEMIPTERA,CORIXIDAE,,,,PR,SW,8.1,FALSE
4/26/2021,252,CULICIDAE,,ARTHROPODA,INSECTA,DIPTERA,CULICIDAE,,,,CG,SW,7.7,FALSE
4/26/2021,255,MENETUS,,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,PLANORBIDAE,,,MENETUS,SC,CB,7.6,FALSE
4/26/2021,256,MESOVELIA,Y,ARTHROPODA,INSECTA,HEMIPTERA,MESOVELIIDAE,,,MESOVELIA,PR,,,FALSE
4/26/2021,257,NOTONECTA,Y,ARTHROPODA,INSECTA,HEMIPTERA,NOTONECTIDAE,NOTONECTINAE,NOTONECTINI,NOTONECTA,PR,"CB, SW",10,FALSE
4/26/2021,258,OCTOGOMPHUS,,ARTHROPODA,INSECTA,ODONATA,GOMPHIDAE,,,OCTOGOMPHUS,PR,BU,1,FALSE
4/26/2021,259,OPHIDONAIS,,ANNELIDA,CLITELLATA,HAPLOTAXIDA,NAIDIDAE,,,OPHIDONAIS,,,6.5,FALSE
4/26/2021,260,OSTRACODA,,ARTHROPODA,OSTRACODA,,,,,,,,,FALSE
4/26/2021,266,PSECTROCLADIUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,PSECTROCLADIUS,"CG,SH",SP,7,FALSE
4/26/2021,267,STEMPELLINA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,TANYTARSINI,STEMPELLINA,CG,CB,0,FALSE
4/26/2021,268,TANYPODINAE,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,,,PR,BU,7,FALSE
4/26/2021,270,CORISELLA,Y,ARTHROPODA,INSECTA,HEMIPTERA,CORIXIDAE,CORIXINAE,CORIXINI,CORISELLA,PR,SW,8,FALSE
4/26/2021,272,PALMACORIXA,Y,ARTHROPODA,INSECTA,HEMIPTERA,CORIXIDAE,CORIXINAE,,PALMACORIXA,PR,SW,6,FALSE
4/26/2021,275,TRICHOCORIXA,Y,ARTHROPODA,INSECTA,HEMIPTERA,CORIXIDAE,CORIXINAE,CORIXINI,TRICHOCORIXA,PR,SW,6.4,FALSE
4/26/2021,276,LEPIDOSTOMA,,ARTHROPODA,INSECTA,TRICHOPTERA,LEPIDOSTOMATIDAE,LEPIDOSTOMATINAE,,LEPIDOSTOMA,SH,CB,3,FALSE
4/26/2021,278,ANAX,,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,,,ANAX,PR,CN,4,FALSE
4/26/2021,282,THIENEMANNIMYIA GENUS GR.,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,THIENEMANNIMYIA,PR,SP,,FALSE
4/26/2021,283,STAPHYLINIDAE,,ARTHROPODA,INSECTA,COLEOPTERA,STAPHYLINIDAE,,,,,,,FALSE
4/26/2021,287,LUMBRICULUS,,ANNELIDA,CLITELLATA,LUMBRICULIDA,LUMBRICULIDAE,,,LUMBRICULUS,CG,,,FALSE
4/26/2021,310,TUBIFICIDAE,,ANNELIDA,CLITELLATA,HAPLOTAXIDA,TUBIFICIDAE,,,,CG,CN,9,FALSE
4/26/2021,312,LYMNAEA,,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,LYMNAEIDAE,LYMNAEINAE,,LYMNAEA,SC,CB,2.6,FALSE
4/26/2021,315,SPHAERIUM,,MOLLUSCA,BIVALVIA,VENEROIDA,PISIDIIDAE,SPHAERIINAE,,SPHAERIUM,"CF,CG",BU,8,FALSE
4/26/2021,316,TRAMEA,,ARTHROPODA,INSECTA,ODONATA,LIBELLULIDAE,,,TRAMEA,PR,SP,,FALSE
4/26/2021,324,STICTOCHIRONOMUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,STICTOCHIRONOMUS,CG,BU,5,FALSE
4/26/2021,325,ECCLISOMYIA,,ARTHROPODA,INSECTA,TRICHOPTERA,LIMNEPHILIDAE,,,ECCLISOMYIA,CG,,2,FALSE
4/26/2021,326,EUBRIANAX,,ARTHROPODA,INSECTA,COLEOPTERA,PSEPHENIDAE,,,EUBRIANAX,,,,FALSE
4/26/2021,327,GUMAGA,,ARTHROPODA,INSECTA,TRICHOPTERA,SERICOSTOMATIDAE,,,GUMAGA,SH,SP,1.1,FALSE
4/26/2021,328,LIMNEPHILIDAE,,ARTHROPODA,INSECTA,TRICHOPTERA,LIMNEPHILIDAE,,,,SH,CB,4.5,FALSE
4/26/2021,330,PLATHEMIS,,ARTHROPODA,INSECTA,ODONATA,LIBELLULIDAE,,,PLATHEMIS,,,,FALSE
4/26/2021,331,ORTHOCLADIINAE,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,,CG,BU,5,FALSE
4/26/2021,333,NAIDIDAE,,ANNELIDA,CLITELLATA,HAPLOTAXIDA,NAIDIDAE,,,,CG,BU,9,FALSE
4/26/2021,334,ALOTANYPUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,MACROPELOPIINI,ALOTANYPUS,,BU,,FALSE
4/26/2021,335,CHIRONOMIDAE,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,,,,"CG,CF",BU,6.2,FALSE
4/26/2021,336,CHIRONOMINAE,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,,CG,,6,FALSE
4/26/2021,337,HESPEROCORIXA,Y,ARTHROPODA,INSECTA,HEMIPTERA,CORIXIDAE,CORIXINAE,CORIXINI,HESPEROCORIXA,PI,SW,,FALSE
4/26/2021,338,HYDRELLIA,,ARTHROPODA,INSECTA,DIPTERA,EPHYDRIDAE,,,HYDRELLIA,,,,FALSE
4/26/2021,339,LIMNOCHARES,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,LIMNOCHARIDAE,,,LIMNOCHARES,PR,CB,8,FALSE
4/26/2021,340,NOTONECTIDAE,Y,ARTHROPODA,INSECTA,HEMIPTERA,NOTONECTIDAE,,,,PR,SW,7,FALSE
4/26/2021,342,ZAVRELIMYIA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ZAVRELIMYIA,PR,SP,8.5,FALSE
4/26/2021,343,AESHNA,,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,,,AESHNA,"CF,CG,PR",CB,3,FALSE
4/26/2021,344,ARCHILESTES,,ARTHROPODA,INSECTA,ODONATA,LESTIDAE,,,ARCHILESTES,,,,FALSE
4/26/2021,346,SERROMYIA,,ARTHROPODA,INSECTA,DIPTERA,CERATOPOGONIDAE,CERATOPOGONINAE,,SERROMYIA,"PR,CG","SP,BU,PK",6,FALSE
4/26/2021,347,SIPHLONURUS,,ARTHROPODA,INSECTA,EPHEMEROPTERA,SIPHLONURIDAE,,,SIPHLONURUS,"CG,SH",SW,7,FALSE
4/26/2021,349,OREODYTES,,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,OREODYTES,SH,SW,5,FALSE
4/26/2021,350,SIGARA,Y,ARTHROPODA,INSECTA,HEMIPTERA,CORIXIDAE,CORIXINAE,CORIXINI,SIGARA,PI,SW,,FALSE
4/26/2021,351,ERPOBDELLIDAE,,ANNELIDA,CLITELLATA,ARHYNCHOBDELLIDA,ERPOBDELLIDAE,,,,PR,SP,8,FALSE
4/26/2021,352,GLOSSIPHONIIDAE,,ANNELIDA,CLITELLATA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,,,,PR,SP,7.3,FALSE
4/26/2021,353,AMERICOROPHIUM,,ARTHROPODA,MALACOSTRACA,AMPHIPODA,COROPHIIDAE,,,AMERICOROPHIUM,CG,,,FALSE
4/26/2021,354,MACROPELOPIINI,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,MACROPELOPIINI,,PR,,,FALSE
4/26/2021,355,ATRACTIDES,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,HYGROBATIDAE,,,ATRACTIDES,PR,CB,8,FALSE
4/26/2021,356,DOLICHOPODIDAE,,ARTHROPODA,INSECTA,DIPTERA,DOLICHOPODIDAE,,,,PR,BU,4.6,FALSE
4/26/2021,358,ARCTEONAIS,,ANNELIDA,CLITELLATA,HAPLOTAXIDA,NAIDIDAE,,,ARCTEONAIS,,,,FALSE
4/26/2021,360,PROTZIA,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,HYDRYPHANTIDAE,,,PROTZIA,,,,FALSE
4/26/2021,362,EPHEMEROPTERA,,ARTHROPODA,INSECTA,EPHEMEROPTERA,,,,,CG,,3.8,FALSE
4/26/2021,363,DIPTERA,,ARTHROPODA,INSECTA,DIPTERA,,,,,CG,CB,7.3,FALSE
4/26/2021,364,PROCAMBARUS,,ARTHROPODA,MALACOSTRACA,DECAPODA,CAMBARIDAE,CAMBARINAE,,PROCAMBARUS,CG,SP,6,FALSE
4/26/2021,365,PYRGULOPSIS,,MOLLUSCA,GASTROPODA,NEOTAENIOGLOSSA,HYDROBIIDAE,,,PYRGULOPSIS,,,,FALSE
4/26/2021,366,TRIBELOS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,TRIBELOS,CG,BU,5.1,FALSE
4/26/2021,367,NEOMYSIS,,ARTHROPODA,MALACOSTRACA,MYSIDACEA,MYSIDAE,,,NEOMYSIS,,,,FALSE
4/26/2021,368,PETROPHILA,,ARTHROPODA,INSECTA,LEPIDOPTERA,CRAMBIDAE,NYMPHULINAE,ARGYRACTINI,PETROPHILA,SC,CB,5,FALSE
4/26/2021,371,CENTROPTILUM,,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,,,CENTROPTILUM,CG,SW,2,FALSE
4/26/2021,373,HETEROTRISSOCLADIUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,ORTHOCLADIINI/METRIOCNEMINI,HETEROTRISSOCLADIUS,CG,SP,4,FALSE
4/26/2021,374,VALVATA,,MOLLUSCA,GASTROPODA,HETEROSTROPHA,VALVATIDAE,,,VALVATA,SC,CB,,FALSE
4/26/2021,375,MONODIAMESA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,PRODIAMESINAE,,MONODIAMESA,CG,BU,2,FALSE
4/26/2021,376,PARAMERINA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,PARAMERINA,PR,SP,2.8,FALSE
4/26/2021,377,PROCLOEON,,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,,,PROCLOEON,CG,SW,8.7,FALSE
4/26/2021,378,THIENEMANNIMYIA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,THIENEMANNIMYIA,,,,FALSE
4/26/2021,379,UNCINAIS,,ANNELIDA,CLITELLATA,HAPLOTAXIDA,NAIDIDAE,,,UNCINAIS,CG,,,FALSE
4/26/2021,380,LIMNEPHILUS,,ARTHROPODA,INSECTA,TRICHOPTERA,LIMNEPHILIDAE,,,LIMNEPHILUS,SH,"SP,CB",4,FALSE
4/26/2021,381,LIMNOPHYES,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,ORTHOCLADIINI/METRIOCNEMINI,LIMNOPHYES,CG,SP,1,FALSE
4/26/2021,382,SOMATOCHLORA,,ARTHROPODA,INSECTA,ODONATA,CORDULIIDAE,,,SOMATOCHLORA,PR,"SP,CB",1.6,FALSE
4/26/2021,383,STICTOTARSUS,,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,HYDROPORINAE,,STICTOTARSUS,PR,SW,,FALSE
4/26/2021,384,CORYNONEURA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,CORYNONEURINI,CORYNONEURA,CG,SP,3.5,FALSE
4/26/2021,385,PHRYGANEIDAE,,ARTHROPODA,INSECTA,TRICHOPTERA,PHRYGANEIDAE,,,,SH,CB,4.2,FALSE
4/26/2021,386,ILYODRILUS,,ANNELIDA,CLITELLATA,HAPLOTAXIDA,TUBIFICIDAE,,,ILYODRILUS,CG,,10,FALSE
4/26/2021,387,ONOCOSMOECUS,,ARTHROPODA,INSECTA,TRICHOPTERA,LIMNEPHILIDAE,,,ONOCOSMOECUS,SH,"CN,SP",4,FALSE
4/26/2021,388,POLYCENTROPUS,,ARTHROPODA,INSECTA,TRICHOPTERA,POLYCENTROPODIDAE,,,POLYCENTROPUS,,,,FALSE
4/26/2021,390,MICROPSECTRA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,TANYTARSINI,MICROPSECTRA,CG,"CB,CN,SP",6,FALSE
4/26/2021,391,PARALEPTOPHLEBIA,,ARTHROPODA,INSECTA,EPHEMEROPTERA,LEPTOPHLEBIIDAE,,,PARALEPTOPHLEBIA,CG,SW,1,FALSE
4/26/2021,392,PSEUDODIAMESA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,DIAMESINAE,DIAMESINI,PSEUDODIAMESA,CG,SP,7.4,FALSE
4/26/2021,393,SYNORTHOCLADIUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,ORTHOCLADIINI/METRIOCNEMINI,SYNORTHOCLADIUS,CG,,3.1,FALSE
4/26/2021,394,COLYMBETINAE,,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,COLYMBETINAE,,,PR,,,FALSE
4/26/2021,395,FOSSARIA,,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,LYMNAEIDAE,LYMNAEINAE,,FOSSARIA,"CG,SC",CB,6,FALSE
4/26/2021,396,HYDROPORUS,,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,PR,SW,5,FALSE
4/26/2021,397,ODONTOMESA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,PRODIAMESINAE,,ODONTOMESA,CG,SP,5,FALSE
4/26/2021,398,OPISTHOPORA,,ANNELIDA,CLITELLATA,OPISTHOPORA,,,,,,,,FALSE
4/26/2021,399,PHILARCTUS,,ARTHROPODA,INSECTA,TRICHOPTERA,LIMNEPHILIDAE,,,PHILARCTUS,,,,FALSE
4/26/2021,400,SERGENTIA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,SERGENTIA,,,,FALSE
4/26/2021,401,AGRAYLEA,,ARTHROPODA,INSECTA,TRICHOPTERA,HYDROPTILIDAE,HYDROPTILINAE,HYDROPTILINI,AGRAYLEA,"CF,CG",CB,4,FALSE
4/26/2021,402,HYGROBATIDAE,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,HYGROBATIDAE,,,,,,,FALSE
4/26/2021,403,PROTANYPUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,DIAMESINAE,PROTANYPINI,PROTANYPUS,,,,FALSE
4/26/2021,404,VEJDOVSKYELLA,,ANNELIDA,CLITELLATA,HAPLOTAXIDA,NAIDIDAE,,,VEJDOVSKYELLA,CG,,,FALSE
